                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7182,                 3.3015,                  1.835,                0.42245,                0.45476,                0.40751,                0.19936,                  1.704,                 2.4211,                 1.9022,                0.07038,              0.0032911,              0.0032911
                      1,                   1.54,                 2.0394,                 1.5888,                0.52505,                0.61151,                0.59968,                0.33971,                 1.4917,                 1.6875,                 1.7051,               0.040314,              0.0065589,              0.0065589
                      2,                 1.4259,                 1.8522,                 1.5197,                 0.5698,                0.67581,                0.66336,                0.37449,                 1.5006,                 1.5989,                 1.6542,               0.010183,              0.0097606,              0.0097606
                      3,                 1.4612,                 1.7811,                 1.5233,                0.62507,                0.71084,                0.68932,                0.38971,                 1.4639,                 1.6765,                 1.6903,               0.009703,               0.009703,               0.009703
                      4,                 1.5199,                 1.7313,                 1.5934,                0.67996,                0.67612,                0.73247,                0.41615,                 1.4695,                 1.3582,                 1.7273,               0.009703,               0.009703,               0.009703
                      5,                 1.4783,                 1.6861,                 1.5987,                0.64858,                0.77198,                 0.7763,                0.45074,                 1.4485,                 1.3206,                 1.6623,               0.009604,               0.009604,               0.009604
                      6,                 1.4736,                 1.6482,                  1.604,                0.65982,                0.74033,                0.74791,                0.40726,                 1.5178,                 1.5478,                 1.7471,               0.009505,               0.009505,               0.009505
                      7,                 1.4742,                 1.6163,                 1.6049,                0.68332,                0.76186,                0.75932,                 0.4244,                 1.4513,                 1.3597,                 1.6986,               0.009406,               0.009406,               0.009406
                      8,                  1.467,                 1.5523,                 1.6119,                0.76067,                 0.6863,                0.79362,                0.46217,                 1.4463,                 1.2887,                 1.6989,               0.009307,               0.009307,               0.009307
                      9,                 1.4263,                 1.4908,                 1.5665,                0.76962,                 0.8041,                0.84093,                0.49099,                 1.4281,                 1.1875,                 1.6522,               0.009208,               0.009208,               0.009208
                     10,                 1.4499,                 1.5145,                 1.5857,                0.65944,                0.77562,                0.78127,                0.46468,                 1.3701,                  1.163,                 1.5782,               0.009109,               0.009109,               0.009109
                     11,                 1.4044,                  1.418,                 1.5575,                0.68459,                0.79887,                0.77672,                0.47241,                 1.3439,                 1.1427,                 1.5507,                0.00901,                0.00901,                0.00901
                     12,                 1.4022,                 1.3996,                 1.5669,                0.71112,                0.75689,                0.78518,                0.46462,                 1.3914,                 1.2411,                 1.6787,               0.008911,               0.008911,               0.008911
                     13,                 1.3944,                 1.4271,                 1.5579,                0.75185,                0.79556,                0.83827,                0.51965,                 1.3945,                 1.1181,                 1.5826,               0.008812,               0.008812,               0.008812
                     14,                 1.3925,                 1.3568,                 1.5333,                0.75606,                0.83898,                0.86145,                0.53984,                 1.3144,                 1.0115,                 1.5659,               0.008713,               0.008713,               0.008713
                     15,                  1.385,                 1.3496,                 1.5606,                0.74046,                0.77709,                 0.8132,                0.49765,                 1.3435,                 1.0504,                 1.5734,               0.008614,               0.008614,               0.008614
                     16,                 1.3854,                 1.3158,                 1.5579,                0.79212,                0.82542,                0.86803,                0.54643,                 1.2658,                 1.0204,                 1.5244,               0.008515,               0.008515,               0.008515
                     17,                 1.3862,                  1.325,                 1.5505,                0.78826,                0.88547,                0.88712,                0.55015,                 1.3048,                0.95842,                 1.5663,               0.008416,               0.008416,               0.008416
                     18,                 1.3734,                  1.313,                 1.5388,                0.80286,                0.83856,                0.89242,                0.58217,                  1.242,                0.94745,                 1.5081,               0.008317,               0.008317,               0.008317
                     19,                 1.3576,                 1.2504,                 1.5409,                0.84851,                0.84038,                0.90498,                0.58546,                 1.2361,                0.85428,                 1.4837,               0.008218,               0.008218,               0.008218
                     20,                 1.3126,                 1.1858,                 1.5098,                0.78147,                 0.8793,                0.88347,                0.57786,                 1.2124,                0.90915,                 1.4955,               0.008119,               0.008119,               0.008119
                     21,                 1.3408,                 1.2421,                  1.522,                0.79742,                  0.837,                0.88641,                0.55283,                 1.3118,                0.95065,                 1.5507,                0.00802,                0.00802,                0.00802
                     22,                 1.3477,                 1.2017,                 1.5381,                0.82122,                0.84412,                0.90118,                0.59119,                 1.2085,                0.87843,                 1.4957,               0.007921,               0.007921,               0.007921
                     23,                  1.323,                 1.1986,                 1.5281,                0.81174,                0.88284,                0.91944,                0.62263,                 1.1848,                0.83492,                 1.4622,               0.007822,               0.007822,               0.007822
                     24,                 1.3091,                 1.1753,                 1.5239,                0.84136,                0.85819,                0.91948,                0.61574,                 1.1829,                0.84089,                 1.5127,               0.007723,               0.007723,               0.007723
                     25,                 1.2714,                 1.1622,                 1.4921,                0.87876,                0.90493,                0.93986,                0.62301,                 1.1967,                0.78294,                 1.4636,               0.007624,               0.007624,               0.007624
                     26,                 1.3043,                 1.1521,                  1.508,                0.85196,                 0.8963,                 0.9292,                0.62116,                  1.195,                0.77496,                 1.4821,               0.007525,               0.007525,               0.007525
                     27,                 1.2595,                  1.106,                 1.4629,                0.85199,                0.85583,                 0.9281,                0.61668,                 1.2042,                0.80676,                 1.5074,               0.007426,               0.007426,               0.007426
                     28,                 1.2605,                 1.0641,                 1.4688,                 0.8301,                0.92495,                0.91841,                0.63147,                 1.1399,                0.76589,                 1.4652,               0.007327,               0.007327,               0.007327
                     29,                 1.2707,                 1.1064,                 1.4915,                0.84567,                0.90931,                0.93351,                0.63422,                 1.1583,                0.76518,                 1.4482,               0.007228,               0.007228,               0.007228
                     30,                 1.2731,                 1.1085,                 1.4819,                0.86006,                0.92031,                0.94536,                0.65557,                 1.1109,                0.75324,                 1.4253,               0.007129,               0.007129,               0.007129
                     31,                 1.2431,                 1.1095,                 1.4763,                0.89851,                0.90451,                0.95357,                0.66349,                 1.0918,                0.71654,                 1.4146,                0.00703,                0.00703,                0.00703
                     32,                 1.2362,                 1.0677,                 1.4648,                0.88838,                 0.8994,                0.95085,                0.66182,                 1.0868,                0.70207,                 1.3837,               0.006931,               0.006931,               0.006931
                     33,                 1.2408,                 1.0365,                 1.4819,                 0.9172,                0.88357,                0.94928,                0.67569,                 1.0687,                0.68676,                 1.3653,               0.006832,               0.006832,               0.006832
                     34,                 1.2184,                 1.0152,                 1.4514,                0.86263,                0.93443,                0.95162,                0.66923,                 1.0954,                0.71224,                 1.3878,               0.006733,               0.006733,               0.006733
                     35,                  1.222,                 1.0121,                 1.4511,                0.88891,                0.92441,                0.96195,                0.67783,                 1.0806,                0.68604,                 1.3955,               0.006634,               0.006634,               0.006634
                     36,                 1.2161,                 1.0439,                 1.4599,                0.88819,                0.93775,                0.96325,                0.68019,                  1.072,                0.64787,                 1.3851,               0.006535,               0.006535,               0.006535
                     37,                 1.2018,                0.98756,                 1.4495,                0.91452,                0.91688,                0.95813,                0.67108,                 1.0867,                0.68253,                 1.3552,               0.006436,               0.006436,               0.006436
                     38,                 1.1545,                0.97657,                 1.4129,                0.86634,                0.93133,                0.95477,                0.67552,                 1.0637,                  0.674,                  1.395,               0.006337,               0.006337,               0.006337
                     39,                 1.1644,                0.97771,                 1.4228,                0.90876,                0.92735,                0.96633,                0.69125,                 1.0344,                0.63913,                 1.3634,               0.006238,               0.006238,               0.006238
